Project Name,Kings Shaes Residency,,,,,,,,,
Expected Project Duration,Block 3 A, Gulistan-e-Jouhar ,,,,,,,,,
No of story of Project,G+10,,,,,,,,,
Carbon Emission,2269.75,,,,,,,,,
PHASE/STAGE OF CONSTUCTION,Equipment Name,Work,New/Old,Fuel Type (Diesel/Petrol),Fuel Consumption (Liter/day),Hours Operated,Emission Factor,Carbon Footprint,Unit,Unit (PPM)
Site Clearance,Backhoe,-,-,-,-,-,-,-,-,-
,Wheel Tractor Scrapers,-,-,-,-,-,-,-,-,-
,Bulldozers,-,-,-,-,-,-,-,-,-
,Dewatering Pump,-,-,-,-,-,-,-,-,-
,Loader,Moving Soil / Rocks,Old,Diesel,30,2,2.64,79.2,Kg of CO2,-
,Dumper,Dumping Soil,Old,Diesel,40,6,2.64,105.6,Kg of CO2,-
Excavation,Excavators,Excavation,Old,Diesel,95,7,2.64,250.8,Kg of CO2,-
,Dumper,Moving excavated soil,Old,DIesel,40,6,2.64,105.6,Kg of CO2,-
,Dewatering Pump,Getting rid of water,Old,DIesel,2.5,4,2.64,6.6,Kg of CO2,-
,Bulldozer,-,-,-,-,-,-,-,-,-
Foundation ,Concrete Mixer ,-,-,-,-,-,-,-,-,-
,Pile diver,-,-,-,-,-,-,-,-,-
,Trencher,-,-,-,-,-,-,-,-,-
,Transit Mixer,Concreting,Old,Diesel,90,8,2.64,237.6,Kg of CO2,-
,Static Pump,Concreting,Old,Diesel,150,6,2.64,396,Kg of CO2,-
Sub Structure Work,Mixer,Mixing Concrete,Old,Diesel,45,6,2.64,118.8,Kg of CO2,-
,Vibrator,Proper Compaction,Old,Diesel,50,5,2.64,132,Kg of CO2,-
"beam ,wall ,column construction",Mixer,Mixing Concrete,Old,Diesel,40,5,2.64,105.6,Kg of CO2,-
,Vibrator,Proper Compaction,Old,Diesel,30,3,2.64,79.2,Kg of CO2,-
Floor slab construction,Mixer,Mixing Concrete,Old,Diesel,60,8,2.64,158.4,Kg of CO2,-
,Vibrator,Proper Compaction,Old,Diesel,45,4,2.64,118.8,Kg of CO2,-
,Paver,-,-,-,-,-,-,-,-,-
,Mobile Pump,Concreting,Old,Diesel,120,6,2.64,316.8,Kg of CO2,-
Any other work:,-,-,-,-,-,-,-,-,-,-
Generator,-,-,Old,Diesel,25,4,2.35,58.75,Kg of CO2,-
Total Carbon Footprint,-,-,-,-,862.5,-,-,2269.75,Kg of CO2,2631.59
